Best Flat Segment Extraction Summary
========================================
Total files processed: 424
Files with flat segments: 157
Total best segments extracted: 157
Average RMS: 0.1602
Average flatness score: 0.9915
Best flatness score: 0.9994
Worst flatness score: 0.9302
Average candidates per file: 20842.8

Detailed Results:
T165_CC3.wav: t=0.01s, RMS=0.1535, Flatness=0.9919, Candidates=22050
T203_CC3.wav: t=0.00s, RMS=0.1192, Flatness=0.9958, Candidates=22050
T456_CC3.wav: t=0.00s, RMS=0.1001, Flatness=0.9963, Candidates=16213
T129_CC3.wav: t=0.01s, RMS=0.1392, Flatness=0.9948, Candidates=22050
T85_CC3.wav: t=0.50s, RMS=0.1678, Flatness=0.9932, Candidates=22050
T284_CC3.wav: t=0.48s, RMS=0.2101, Flatness=0.9848, Candidates=22050
T3_CC3.wav: t=0.03s, RMS=0.1078, Flatness=0.9958, Candidates=22050
T270_CC3.wav: t=0.49s, RMS=0.1707, Flatness=0.9889, Candidates=22050
T435_CC3.wav: t=0.06s, RMS=0.2144, Flatness=0.9867, Candidates=22050
T425_CC3.wav: t=0.20s, RMS=0.1150, Flatness=0.9956, Candidates=22050
T116_CC3.wav: t=0.36s, RMS=0.1474, Flatness=0.9902, Candidates=22050
T174_CC3.wav: t=0.33s, RMS=0.1557, Flatness=0.9919, Candidates=22050
T447_CC3.wav: t=0.00s, RMS=0.2458, Flatness=0.9846, Candidates=22050
T202_CC3.wav: t=0.50s, RMS=0.3247, Flatness=0.9697, Candidates=22050
T120_CC3.wav: t=0.00s, RMS=0.1283, Flatness=0.9941, Candidates=22050
T130_CC3.wav: t=0.00s, RMS=0.1142, Flatness=0.9945, Candidates=22050
T246_CC3.wav: t=0.00s, RMS=0.1287, Flatness=0.9951, Candidates=22050
T47_CC3.wav: t=0.40s, RMS=0.1115, Flatness=0.9948, Candidates=22050
T57_CC3.wav: t=0.00s, RMS=0.3061, Flatness=0.9745, Candidates=22050
T397_CC3.wav: t=0.00s, RMS=0.1323, Flatness=0.9940, Candidates=22050
T279_CC3.wav: t=0.48s, RMS=0.1399, Flatness=0.9944, Candidates=22050
T269_CC3.wav: t=0.31s, RMS=0.1002, Flatness=0.9964, Candidates=20723
T311_CC3.wav: t=0.49s, RMS=0.1195, Flatness=0.9953, Candidates=22050
